"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","809","should create route successfully - create route with valid path / [#1]","chromium","Sun Nov 16 11:47:43 UTC 2025","passed","Sun Nov 16 11:47:44 UTC 2025","Kong Service add a route","service/route_create.spec.js","",""
"","1537","should create service successfully - create my-service1 [#1]","chromium","Sun Nov 16 11:47:47 UTC 2025","passed","Sun Nov 16 11:47:49 UTC 2025","Kong Service Creation ","service/service_create.spec.js","",""
"","1705","should create service successfully - create my-service2 [#2]","chromium","Sun Nov 16 11:47:49 UTC 2025","passed","Sun Nov 16 11:47:50 UTC 2025","Kong Service Creation ","service/service_create.spec.js","",""
"","969","should create route successfully - create route with specific method [#2]","chromium","Sun Nov 16 11:47:46 UTC 2025","passed","Sun Nov 16 11:47:47 UTC 2025","Kong Service add a route","service/route_create.spec.js","",""
